"Normals:0","Normals:1","Normals:2","VELOCITY_1","VELOCITY_2","VELOCITY_3","VELOCITY_4","VELOCITY_5","VELOCITY_6","VELOCITY_7","VELOCITY_8","VELOCITY_9","VELOCITY_10","VELOCITY_11","CP_1","CP_2","CP_3","CP_4","CP_5","CP_6","CP_7","CP_8","CP_9","CP_10","CP_11","DIPOLE_1","DIPOLE_2","DIPOLE_3","DIPOLE_4","DIPOLE_5","DIPOLE_6","DIPOLE_7","DIPOLE_8","DIPOLE_9","DIPOLE_10","DIPOLE_11","SOURCE_1","SOURCE_2","SOURCE_3","SOURCE_4","SOURCE_5","SOURCE_6","SOURCE_7","SOURCE_8","SOURCE_9","SOURCE_10","SOURCE_11","Points:0","Points:1","Points:2"
0.086641,0,-0.99623,6.154,6.0367,5.9176,5.7967,5.674,5.5496,5.4235,5.2958,5.1664,5.0355,4.903,-0.010422,0.027731,0.065728,0.10353,0.14108,0.17834,0.21526,0.2518,0.2879,0.32354,0.35867,-0.11527,-0.0068701,0.10153,0.2099,0.31822,0.42643,0.5345,0.64242,0.75014,0.85764,0.96486,1.06,0.95463,0.84895,0.743,0.63682,0.53046,0.42393,0.31727,0.21051,0.1037,-0.0031551,0.28997,0,0.00014026
0.095574,0,-0.99541,6.2873,6.1593,6.0294,5.8977,5.7642,5.629,5.492,5.3534,5.2131,5.0713,4.9279,-0.054712,-0.012192,0.030055,0.071977,0.11353,0.15465,0.1953,0.23543,0.27497,0.3139,0.35216,-0.10933,-0.0052872,0.098756,0.20277,0.30672,0.41058,0.51431,0.61789,0.72127,0.82445,0.92736,1.1141,1.0088,0.9033,0.79748,0.69142,0.58515,0.4787,0.3721,0.26539,0.1586,0.051763,0.259,0,-0.0027075
0.10251,0,-0.99473,6.4428,6.3025,6.1602,6.0161,5.8702,5.7224,5.573,5.4218,5.269,5.1145,4.9586,-0.10757,-0.059832,-0.012515,0.034321,0.080625,0.12633,0.17139,0.21575,0.25935,0.30214,0.34406,-0.09901,0.00046219,0.099933,0.19937,0.29876,0.39805,0.49721,0.59623,0.69506,0.79369,0.89206,1.156,1.0509,0.94551,0.8398,0.73383,0.62763,0.52125,0.41471,0.30804,0.20128,0.094453,0.22918,0,-0.0056919
0.10726,0,-0.99423,6.6222,6.4676,6.311,6.1526,5.9922,5.83,5.6661,5.5004,5.3331,5.1641,4.9935,-0.17015,-0.11613,-0.06273,-0.010004,0.04198,0.093155,0.14345,0.19283,0.24121,0.28855,0.33477,-0.084149,0.010553,0.10525,0.19992,0.29452,0.38904,0.48343,0.57768,0.67175,0.76563,0.85925,1.1847,1.0797,0.97437,0.86873,0.76283,0.65669,0.55036,0.44386,0.33722,0.23048,0.12367,0.20066,0,-0.008717
0.10952,0,-0.99398,6.8287,6.6575,6.4842,6.309,6.1318,5.9528,5.772,5.5893,5.4051,5.2191,5.0316,-0.24434,-0.18268,-0.12189,-0.062045,-0.003207,0.054544,0.11113,0.16651,0.22058,0.2733,0.3246,-0.064692,0.025053,0.11479,0.20449,0.29413,0.38368,0.47311,0.5624,0.65152,0.74044,0.82913,1.1984,1.0934,0.98809,0.88249,0.77662,0.67051,0.5642,0.45772,0.35109,0.24436,0.13756,0.17359,0,-0.011687
0.10885,0,-0.99406,7.0672,6.8764,6.6834,6.4884,6.2914,6.0925,5.8918,5.6892,5.485,5.279,5.0715,-0.33288,-0.26181,-0.19194,-0.12336,-0.056151,0.0096032,0.073821,0.13643,0.19735,0.25652,0.31384,-0.040678,0.043938,0.12854,0.2131,0.29761,0.38201,0.4663,0.55045,0.63443,0.71822,0.80179,1.1943,1.0893,0.98403,0.87841,0.77253,0.66642,0.5601,0.45361,0.34699,0.24025,0.13345,0.14812,0,-0.014505
0.10462,0,-0.99451,7.3447,7.1304,6.9139,6.6953,6.4747,6.252,6.0275,5.8012,5.5731,5.3432,5.1118,-0.43973,-0.35687,-0.27567,-0.19622,-0.11862,-0.042977,0.030626,0.1021,0.17136,0.23832,0.30288,-0.012233,0.067099,0.14641,0.22568,0.30488,0.38398,0.46297,0.54182,0.6205,0.69899,0.77727,1.1687,1.0637,0.9583,0.85262,0.74668,0.64051,0.53415,0.42762,0.32097,0.21422,0.1074,0.12437,0,-0.017078
0.095877,0,-0.99538,7.671,7.4282,7.1832,6.936,6.6867,6.4353,6.182,5.9268,5.6697,5.411,5.1506,-0.57067,-0.47274,-0.3771,-0.28386,-0.19314,-0.10506,-0.019718,0.062789,0.14235,0.21888,0.29226,0.020439,0.094348,0.16823,0.24206,0.31581,0.38947,0.46301,0.53641,0.60964,0.68269,0.75553,1.1159,1.0107,0.90514,0.79933,0.69327,0.587,0.48055,0.37396,0.26725,0.16047,0.053628,0.10246,0,-0.019314
0.081207,0,-0.99666,8.0599,7.7821,7.5018,7.2193,6.9345,6.6477,6.3588,6.068,5.7754,5.481,5.1849,-0.73426,-0.61661,-0.50215,-0.39102,-0.28335,-0.17929,-0.078951,0.017552,0.11008,0.19854,0.28281,0.05706,0.12542,0.19375,0.26201,0.3302,0.39829,0.46625,0.53407,0.60173,0.66921,0.73647,1.0271,0.92163,0.81586,0.70984,0.6036,0.49719,0.39062,0.28393,0.17715,0.070322,-0.036529,0.08248,0,-0.021124
0.058408,0,-0.9982,8.5315,8.2093,7.8847,7.5576,7.2282,6.8967,6.563,6.2274,5.8898,5.5505,5.2094,-0.94356,-0.79936,-0.65967,-0.52468,-0.39453,-0.26939,-0.14942,-0.034754,0.074455,0.17809,0.27601,0.097286,0.16,0.22266,0.28526,0.34777,0.41018,0.47245,0.53459,0.59656,0.65835,0.71994,0.88888,0.78304,0.67696,0.57067,0.4642,0.3576,0.25089,0.1441,0.037262,-0.069583,-0.17641,0.064516,0,-0.022424
0.023954,0,-0.9995,9.1146,8.7352,8.3531,7.9685,7.5814,7.1921,6.8005,6.4069,6.0113,5.6139,5.2148,-1.2191,-1.0379,-0.86321,-0.69532,-0.53438,-0.38062,-0.23421,-0.09532,0.035862,0.1592,0.27451,0.14071,0.19768,0.2546,0.31144,0.36819,0.42483,0.48133,0.53769,0.59388,0.64989,0.70571,0.67944,0.57317,0.46672,0.36013,0.25343,0.14666,0.039836,-0.066996,-0.17381,-0.28057,-0.38724,0.048632,0,-0.023134
-0.028041,0,-0.99912,9.8512,9.3955,8.9369,8.4757,8.0118,7.5455,7.0769,6.6061,6.1334,5.6587,5.1824,-1.5935,-1.3586,-1.1335,-0.91856,-0.71391,-0.51988,-0.33668,-0.16454,-0.0036735,0.14574,0.28348,0.18686,0.23804,0.28914,0.34016,0.39108,0.44187,0.49253,0.54304,0.59339,0.64355,0.69352,0.36211,0.25544,0.14869,0.041904,-0.064899,-0.17168,-0.27841,-0.38506,-0.49159,-0.59797,-0.70416,0.03488,0,-0.023179
-0.10777,0,-0.99298,10.798,10.237,9.6736,9.1069,8.5374,7.9654,7.3909,6.8141,6.2353,5.6545,5.0721,-2.1182,-1.8019,-1.501,-1.2158,-0.94671,-0.694,-0.458,-0.23898,-0.037239,0.14701,0.31351,0.23522,0.28056,0.32581,0.37096,0.41599,0.4609,0.50567,0.55029,0.59474,0.639,0.68307,-0.12742,-0.2341,-0.34072,-0.44722,-0.55359,-0.6598,-0.7658,-0.87156,-0.97707,-1.0823,-1.1871,0.023298,0,-0.02249
-0.23275,0,-0.96934,12.01,11.301,10.588,9.8724,9.1537,8.4322,7.7082,6.9817,6.2532,5.5228,4.7907,-2.86,-2.4161,-1.9975,-1.6047,-1.2382,-0.89837,-0.5857,-0.30051,-0.043189,0.18597,0.38666,0.28527,0.32474,0.36411,0.40336,0.4425,0.4815,0.52035,0.55905,0.59757,0.63592,0.67406,-0.90233,-1.0075,-1.1125,-1.217,-1.3212,-1.425,-1.5284,-1.6313,-1.7337,-1.8355,-1.9368,0.01391,0,-0.021006
-0.42738,0,-0.89455,13.4,12.485,11.567,10.645,9.7196,8.7915,7.8607,6.9274,5.992,5.0548,4.1162,-3.8038,-3.168,-2.5753,-2.0264,-1.5218,-1.0623,-0.64842,-0.2806,0.040647,0.31497,0.54199,0.33653,0.37012,0.40361,0.43697,0.47019,0.50327,0.5362,0.56897,0.60156,0.63397,0.66618,-2.1293,-2.2282,-2.3264,-2.4239,-2.5206,-2.6166,-2.7118,-2.8062,-2.8997,-2.9923,-3.084,0.0067315,0,-0.018671
-0.68944,0,-0.69538,14.156,13.021,11.882,10.739,9.5931,8.4443,7.293,6.1394,4.984,3.827,2.6689,-4.3458,-3.5229,-2.7669,-2.0785,-1.4587,-0.90812,-0.42756,-0.017511,0.32147,0.589,0.78473,0.38865,0.41638,0.44398,0.47144,0.49876,0.52592,0.55293,0.57977,0.60643,0.63291,0.65919,-3.8339,-3.9138,-3.9925,-4.0699,-4.1461,-4.2211,-4.2947,-4.3671,-4.4381,-4.5078,-4.5761,0.0017632,0,-0.015437
-0.91357,0,-0.33231,12.498,11.31,10.119,8.9251,7.7283,6.5292,5.3282,4.1254,2.9215,1.7166,1.185,-3.2439,-2.4853,-1.8001,-1.1892,-0.65338,-0.19325,0.1906,0.49776,0.72781,0.88047,0.95556,0.44075,0.46269,0.48449,0.50615,0.52765,0.54899,0.57016,0.59116,0.61197,0.63261,0.65304,-5.3947,-5.4378,-5.4792,-5.5189,-5.5569,-5.5933,-5.628,-5.6609,-5.6921,-5.7216,-5.7493,-0.0010022,0,-0.011267
-0.98099,0,0.06893,7.7954,6.8366,5.8758,4.9132,3.949,2.9838,2.0176,1.7304,1.5463,1.3617,1.8505,-0.86146,-0.45936,-0.10726,0.19443,0.44536,0.64518,0.79367,0.89067,0.93603,0.9297,0.87171,0.49059,0.50715,0.52356,0.53981,0.55589,0.57181,0.58755,0.60311,0.61849,0.63368,0.64868,-6.02,-6.0209,-6.0199,-6.0172,-6.0125,-6.0061,-5.9978,-5.9877,-5.9758,-5.962,-5.9464,-0.0015814,0,-0.0061281
