"Normals:0","Normals:1","Normals:2","VELOCITY_1","VELOCITY_2","VELOCITY_3","VELOCITY_4","VELOCITY_5","VELOCITY_6","VELOCITY_7","VELOCITY_8","VELOCITY_9","VELOCITY_10","VELOCITY_11","CP_1","CP_2","CP_3","CP_4","CP_5","CP_6","CP_7","CP_8","CP_9","CP_10","CP_11","DIPOLE_1","DIPOLE_2","DIPOLE_3","DIPOLE_4","DIPOLE_5","DIPOLE_6","DIPOLE_7","DIPOLE_8","DIPOLE_9","DIPOLE_10","DIPOLE_11","SOURCE_1","SOURCE_2","SOURCE_3","SOURCE_4","SOURCE_5","SOURCE_6","SOURCE_7","SOURCE_8","SOURCE_9","SOURCE_10","SOURCE_11","Points:0","Points:1","Points:2"
0.39137,0,0.92007,6.0757,6.0946,6.1116,6.1267,6.1399,6.1514,6.161,6.1685,6.1743,6.1782,6.1805,0.014815,0.0086687,0.0031054,-0.001836,-0.00617,-0.0099779,-0.013138,-0.015656,-0.017571,-0.018889,-0.019661,-1.1975,-1.3724,-1.5469,-1.721,-1.8945,-2.0674,-2.2397,-2.4113,-2.5822,-2.7523,-2.9215,1.8961,1.9973,2.098,2.1981,2.2975,2.3961,2.4941,2.5913,2.6877,2.7832,2.878,0.86561,0,0.066911
0.40336,0,0.91486,5.8289,5.8423,5.8539,5.8636,5.8715,5.8779,5.8824,5.8849,5.8857,5.8848,5.8824,0.093146,0.08896,0.085313,0.082253,0.079758,0.077722,0.076298,0.075465,0.075185,0.075433,0.076164,-1.2225,-1.3987,-1.5745,-1.7498,-1.9246,-2.0988,-2.2723,-2.4452,-2.6174,-2.7887,-2.9591,1.972,2.0728,2.173,2.2726,2.3714,2.4695,2.5669,2.6635,2.7593,2.8542,2.9483,0.88644,0,0.057507
0.41445,0,0.90986,5.565,5.5729,5.5792,5.5836,5.5863,5.5877,5.5871,5.5848,5.5807,5.5751,5.5682,0.1733,0.17092,0.16902,0.16768,0.16685,0.16641,0.16653,0.1672,0.16837,0.17,0.17203,-1.2428,-1.4202,-1.5971,-1.7736,-1.9495,-2.1248,-2.2994,-2.4733,-2.6466,-2.819,-2.9905,2.0423,2.1427,2.2424,2.3415,2.4398,2.5374,2.6343,2.7303,2.8255,2.9198,3.0133,0.90568,0,0.048518
0.4246,0,0.90514,5.2828,5.2853,5.2862,5.2854,5.2828,5.2792,5.2737,5.2665,5.2576,5.2473,5.2359,0.25489,0.25415,0.25384,0.25406,0.25473,0.25571,0.25722,0.25921,0.26165,0.26448,0.26762,-1.2588,-1.4371,-1.615,-1.7924,-1.9693,-2.1455,-2.3211,-2.496,-2.6702,-2.8435,-3.0159,2.1067,2.2067,2.306,2.4046,2.5025,2.5996,2.6959,2.7914,2.8861,2.9798,3.0727,0.92326,0,0.040042
0.43379,0,0.90075,4.9819,4.9789,4.9745,4.9683,4.9606,4.9519,4.9414,4.9293,4.9156,4.9007,4.8848,0.33719,0.33794,0.33906,0.34066,0.34266,0.34489,0.34761,0.35074,0.35428,0.35812,0.36219,-1.2705,-1.4497,-1.6284,-1.8067,-1.9843,-2.1614,-2.3378,-2.5135,-2.6885,-2.8626,-3.0358,2.1651,2.2647,2.3636,2.4618,2.5592,2.6559,2.7517,2.8467,2.9409,3.0341,3.1264,0.93912,0,0.032174
0.442,0,0.89673,4.6636,4.655,4.6452,4.6336,4.6206,4.6069,4.5914,4.5743,4.5557,4.5361,4.5159,0.41901,0.42107,0.42345,0.42626,0.42941,0.43271,0.43644,0.44053,0.44497,0.44962,0.45443,-1.2786,-1.4584,-1.6378,-1.8168,-1.9951,-2.1729,-2.3499,-2.5262,-2.7019,-2.8767,-3.0505,2.2173,2.3165,2.4151,2.5128,2.6099,2.7061,2.8015,2.8961,2.9897,3.0825,3.1743,0.95323,0,0.025002
0.44917,0,0.89313,4.3313,4.3172,4.3018,4.2846,4.2662,4.2474,4.2267,4.2046,4.181,4.1566,4.1319,0.49864,0.50185,0.50529,0.50913,0.51325,0.51742,0.52198,0.52684,0.53198,0.53726,0.5426,-1.2832,-1.4636,-1.6435,-1.8231,-2.002,-2.1803,-2.3578,-2.5347,-2.711,-2.8863,-3.0606,2.263,2.3619,2.4601,2.5575,2.6542,2.75,2.8451,2.9392,3.0325,3.1248,3.2162,0.96554,0,0.018608
0.4553,0,0.89,3.9939,3.974,3.953,3.9302,3.9062,3.8822,3.8563,3.829,3.8004,3.7712,3.742,0.57353,0.57768,0.58199,0.58667,0.59155,0.5964,0.60159,0.60701,0.61265,0.61835,0.62402,-1.285,-1.4659,-1.6462,-1.8262,-2.0055,-2.1842,-2.3622,-2.5396,-2.7162,-2.8919,-3.0667,2.302,2.4007,2.4986,2.5957,2.692,2.7876,2.8822,2.976,3.0689,3.1609,3.2519,0.97601,0,0.013064
0.46035,0,0.88738,3.6664,3.6407,3.6141,3.5856,3.5561,3.5269,3.4958,3.4633,3.4296,3.3955,3.3618,0.64046,0.64535,0.65033,0.65564,0.66108,0.6664,0.67201,0.67778,0.68372,0.68964,0.69545,-1.2846,-1.4657,-1.6464,-1.8267,-2.0063,-2.1854,-2.3637,-2.5413,-2.7183,-2.8944,-3.0694,2.3342,2.4326,2.5303,2.6272,2.7232,2.8185,2.9129,3.0064,3.099,3.1906,3.2813,0.98462,0,0.0084365
0.4643,0,0.88531,3.3702,3.3389,3.3069,3.2728,3.2379,3.2036,3.1674,3.1299,3.0912,3.0523,3.0142,0.69613,0.70157,0.70703,0.71278,0.7186,0.72421,0.73008,0.73603,0.7421,0.74807,0.75387,-1.2826,-1.464,-1.6448,-1.8253,-2.0052,-2.1844,-2.363,-2.5408,-2.718,-2.8943,-3.0696,2.3595,2.4577,2.5551,2.6518,2.7477,2.8427,2.9368,3.0301,3.1225,3.2139,3.3043,0.99133,0,0.0047788
0.46714,0,0.8838,3.1313,3.0949,3.0579,3.0187,2.9788,2.9399,2.899,2.8567,2.8134,2.77,2.7279,0.73764,0.74349,0.7493,0.75534,0.76142,0.76719,0.7732,0.77922,0.78531,0.79122,0.79694,-1.2798,-1.4613,-1.6423,-1.8229,-2.0029,-2.1823,-2.3609,-2.5389,-2.7162,-2.8926,-3.068,2.3776,2.4756,2.5729,2.6695,2.7652,2.8601,2.9541,3.0472,3.1393,3.2305,3.3208,0.99614,0,0.0021346
0.46884,0,0.88289,2.9753,2.9334,2.8909,2.8463,2.8009,2.7568,2.7106,2.6632,2.6147,2.5662,2.5193,0.76313,0.7695,0.77577,0.78222,0.78868,0.79477,0.80105,0.80728,0.81354,0.81955,0.82534,-1.277,-1.4586,-1.6396,-1.8203,-2.0003,-2.1797,-2.3584,-2.5365,-2.7138,-2.8903,-3.0657,2.3884,2.4864,2.5836,2.6801,2.7757,2.8705,2.9644,3.0574,3.1494,3.2406,3.3307,0.99904,0,0.00053525
